City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,petropavlovsk-kamchatsky,53.0452,158.6483,57.79,82,75,11.18,RU,1721713816
1,bethel,41.3712,-73.414,71.69,88,100,3.44,US,1721713816
2,ushuaia,-54.8,-68.3,35.26,69,0,5.75,AR,1721713575
3,san patricio,28.017,-97.5169,84.83,75,46,6.69,US,1721713817
4,puerto ayora,-0.7393,-90.3518,68.56,96,95,4.0,EC,1721713817
5,jamestown,42.097,-79.2353,69.39,98,75,4.61,US,1721713817
6,klyuchi,52.2667,79.1667,78.57,47,55,2.13,RU,1721713817
7,vorgashor,67.5833,63.95,55.94,64,99,4.36,RU,1721713817
8,swakopmund,-22.6833,14.5333,50.99,89,39,7.58,NA,1721713817
9,tiksi,71.6872,128.8694,40.55,90,100,7.34,RU,1721713817
10,lihue,21.9789,-159.3672,78.39,77,40,16.11,US,1721713818
11,yanam,16.7333,82.2167,84.69,74,100,10.8,IN,1721713818
12,ozieri,40.586,9.0012,72.46,58,0,2.53,IT,1721713818
13,invercargill,-46.4,168.35,48.02,95,69,7.0,NZ,1721713656
14,talnakh,69.4865,88.3972,64.8,34,40,1.07,RU,1721713818
15,lyantor,61.6195,72.1555,65.5,39,16,11.99,RU,1721713818
16,adamstown,-25.066,-130.1015,65.7,73,23,18.3,PN,1721713818
17,punta arenas,-53.15,-70.9167,39.31,87,75,5.75,CL,1721713819
18,araguaina,-7.1911,-48.2072,68.0,45,5,3.78,BR,1721713819
19,kehychivka,49.2866,35.7615,75.45,48,83,8.63,UA,1721713819
20,bandar lampung,-5.4254,105.258,85.98,55,30,7.38,ID,1721713819
21,ilulissat,69.2167,-51.1,42.82,87,75,3.44,GL,1721713819
22,port mathurin,-19.6833,63.4167,73.06,63,28,16.55,MU,1721713819
23,port-aux-francais,-49.35,70.2167,36.72,76,77,13.78,TF,1721713820
24,port alfred,-33.5906,26.891,54.64,61,21,8.81,ZA,1721713820
25,bijie,27.3125,105.2942,82.18,62,77,10.69,CN,1721713820
26,fallon,39.4735,-118.7774,85.87,35,75,13.8,US,1721713820
27,tual,-5.6667,132.75,77.45,86,48,19.08,ID,1721713820
28,yesan,36.6776,126.8427,82.09,96,100,6.2,KR,1721713820
29,teguise,29.0605,-13.564,66.42,78,20,19.57,ES,1721713820
30,margate,51.3813,1.3862,63.9,88,86,14.12,GB,1721713579
31,smithers,54.7804,-127.1743,57.52,88,100,5.75,CA,1721713821
32,college,64.8569,-147.8028,82.35,37,40,5.75,US,1721713821
33,papatowai,-46.5619,169.4708,47.03,86,94,9.89,NZ,1721713821
34,dombarovskiy,50.7587,59.5386,76.66,52,5,15.21,RU,1721713821
35,fale old settlement,-9.3852,-171.2468,83.28,79,78,23.02,TK,1721713822
36,chonchi,-42.6128,-73.8092,45.61,95,99,1.54,CL,1721713822
37,edinburgh of the seven seas,-37.0676,-12.3116,55.6,80,85,25.86,SH,1721713822
38,grytviken,-54.2811,-36.5092,26.22,86,85,15.68,GS,1721713822
39,hermanus,-34.4187,19.2345,51.06,74,38,5.41,ZA,1721713822
40,bilibino,68.0546,166.4372,79.34,48,56,15.79,RU,1721713822
41,puerto natales,-51.7236,-72.4875,38.46,96,100,2.98,CL,1721713607
42,agapovka,53.2973,59.1348,63.61,91,100,10.02,RU,1721713823
43,kenai,60.5544,-151.2583,57.29,99,100,4.61,US,1721713823
44,yellowknife,62.456,-114.3525,70.32,71,100,4.61,CA,1721713823
45,la passe,45.5549,-0.8967,61.03,85,2,3.27,FR,1721713823
46,keflavik,64.0049,-22.5624,49.91,100,100,14.97,IS,1721713823
47,waitangi,-43.9535,-176.5597,48.81,99,100,14.0,NZ,1721713824
48,vorkuta,67.5,64.0,55.54,65,100,3.49,RU,1721713824
49,magadan,59.5667,150.8,66.16,74,22,5.41,RU,1721713824
50,iqaluit,63.7506,-68.5145,44.33,75,75,5.75,CA,1721713531
51,hammerfest,70.6634,23.6821,75.65,53,0,5.75,NO,1721713824
52,khandyga,62.6667,135.6,68.97,65,88,1.36,RU,1721713824
53,kupang,-10.1667,123.5833,90.18,48,20,14.97,ID,1721713825
54,chibougamau,49.9168,-74.3659,51.42,87,100,4.61,CA,1721713825
55,annaba,36.9,7.7667,73.36,73,20,4.61,DZ,1721713825
56,tolanaro,-25.0319,46.9987,66.27,94,40,2.3,MG,1721713825
57,vanimo,-2.6741,141.3028,83.57,72,74,6.02,PG,1721713825
58,zeya,53.75,127.2667,88.39,30,16,4.25,RU,1721713825
59,badger,64.8,-147.5333,82.27,52,40,5.75,US,1721713825
60,cabo san lucas,22.8909,-109.9124,88.9,75,6,13.0,MX,1721713568
61,labrador city,52.9463,-66.9114,46.18,79,0,37.0,CA,1721713826
62,wailua homesteads,22.0669,-159.378,77.79,85,40,16.11,US,1721713826
63,atafu village,-8.5421,-172.5159,82.78,80,88,19.82,TK,1721713826
64,kalmunai,7.4167,81.8167,92.44,49,19,8.97,LK,1721713826
65,touros,-5.1989,-35.4608,72.75,82,37,13.78,BR,1721713826
66,tolmin,46.183,13.7332,77.58,63,9,4.27,SI,1721713826
67,bumba,2.1833,22.4667,73.24,93,100,1.36,CD,1721713827
68,castillos,-34.1667,-53.8333,55.42,95,19,3.15,UY,1721713827
69,yelizovo,53.1873,158.3805,59.14,82,75,11.18,RU,1721713827
70,hawaiian paradise park,19.5933,-154.9731,78.31,81,40,6.91,US,1721713827
71,stanley,54.868,-1.6985,56.79,93,75,5.75,GB,1721713827
72,isafjordur,66.0755,-23.124,45.0,93,100,5.37,IS,1721713827
73,mejit,10.2753,170.8646,83.12,73,57,14.67,MH,1721713828
74,yatou,37.15,122.3833,78.19,92,100,14.85,CN,1721713828
75,zaozersk,69.4005,32.4476,69.15,50,85,9.1,RU,1721713828
76,tadine,-21.55,167.8833,68.14,68,100,12.21,NC,1721713828
77,guanica,17.9716,-66.908,80.38,62,99,11.18,PR,1721713828
78,kapa'a,22.0752,-159.319,79.12,82,40,16.11,US,1721713613
79,santander,43.4647,-3.8044,64.45,91,0,1.01,ES,1721713829
80,rongelap,11.1635,166.8941,83.37,78,29,15.03,MH,1721713829
81,el battan,36.8037,9.8442,76.68,62,12,18.59,TN,1721713829
82,aripuana,-9.1667,-60.6333,67.17,50,7,2.53,BR,1721713829
83,sidrolandia,-20.9319,-54.9614,64.24,44,3,6.76,BR,1721713829
